TYPE,ADDRESS,LOCATION,LOCATION_2,ENTRANCE_T,TYPE_2,LAT,LNG
Pedestrian,N 66TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9813349329,-75.2551243257
Pedestrian,N 66TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9821500715,-75.25581697
Pedestrian,SHERWOOD RD,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9835874402,-75.2573914494
Pedestrian,SHERWOOD RD,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9837524491,-75.2573788859
Pedestrian,N 66TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9838259547,-75.2572393459
Pedestrian,CITY AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.985310548,-75.2586806067
Pedestrian,CITY AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9849110905,-75.2593640786
Pedestrian,N 72ND ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9808172683,-75.2648357999
Pedestrian,CITY AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9817138665,-75.2656019196
Pedestrian,CITY AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9807571264,-75.2677396282
Pedestrian,CITY AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9810715019,-75.2670474368
Pedestrian,WOODCREST AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.977617316,-75.2619600663
Pedestrian,HAVERFORD AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9745056545,-75.2598274737
Vehicular,HAVERFORD AVE,Cobbs Creek Park, ,Road,Secondary,39.9727563321,-75.2551171146
Pedestrian,CALLOWHILL ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9697808371,-75.2534662488
Pedestrian,CALLOWHILL ST,Cobbs Creek Park,Granahan Playground,Trail - Park,Primary,39.9695687857,-75.2518611291
Pedestrian,338-50 N 65TH ST,Cobbs Creek Park,Granahan Playground,Park,Secondary,39.9695106079,-75.251565165
Pedestrian,338-50 N 65TH ST,Cobbs Creek Park,Granahan Playground,Park,Primary,39.9693866713,-75.2506030627
Pedestrian,338-50 N 65TH ST,Cobbs Creek Park,Granahan Playground,Park,Primary,39.9693480529,-75.2501434622
Pedestrian,338-50 N 65TH ST,Cobbs Creek Park,Granahan Playground,Park,Primary,39.969369179,-75.2504128537
Pedestrian and Vehicular,VINE ST,Cobbs Creek Park, ,"Trail - Park, Road, Parkling lot",Primary,39.9679281226,-75.2509216239
Pedestrian,RACE ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9662293683,-75.250252115
Pedestrian,RACE ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9659706211,-75.2481893128
Pedestrian,N GROSS ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9658800437,-75.2472559086
Pedestrian,N GROSS ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9652752995,-75.2473856741
Pedestrian,ARCH ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9642634963,-75.2473500929
Pedestrian,N 63RD ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9642592982,-75.2465671391
Pedestrian,N 63RD ST,Cobbs Creek Park, ,Trail - Park,Primary,39.963083747,-75.2468195727
Vehicular,CARDINGTON RD,Cobbs Creek Park,Cobbs Creek & Karakung Golf Course,Road,Secondary,39.9658284041,-75.2622661804
Vehicular,7900 LANSDOWNE AVE,Cobbs Creek Park,Cobbs Creek & Karakung Golf Course,Road,Secondary,39.966247086,-75.2673592995
Pedestrian and Vehicular,7900 LANSDOWNE AVE,Cobbs Creek Park,Cobbs Creek & Karakung Golf Course,"Trail - Park, Road, Parkling lot",Primary,39.9678641969,-75.2653947312
Pedestrian and Vehicular,7900 LANSDOWNE AVE,Cobbs Creek Park,Cobbs Creek & Karakung Golf Course,"Trail - Park, Road, Parkling lot",Primary,39.9671271647,-75.2662901412
Pedestrian and Vehicular,MARKET ST,Cobbs Creek Park, ,"Trail - Park, Road, Parkling lot",Primary,39.9628712773,-75.2502908596
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9624384266,-75.2470890388
Pedestrian,MARKET ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9627853308,-75.2483709571
Pedestrian and Vehicular,200 S 63RD ST,Cobbs Creek Park,Laura Sims Skating Park,"Trail - Park, Road, Parkling lot",Primary,39.9603178737,-75.247397601
Pedestrian and Vehicular,200 S 63RD ST,Cobbs Creek Park,Laura Sims Skating Park,"Trail - Park, Road, Parkling lot",Primary,39.9597157279,-75.2475230288
Pedestrian,200 S 63RD ST,Cobbs Creek Park,Laura Sims Skating Park,Park,Primary,39.9593075844,-75.2476092939
Pedestrian,200 S 63RD ST,Cobbs Creek Park,Laura Sims Skating Park,Trail - Park,Primary,39.9586544356,-75.2477455671
Pedestrian and Vehicular,280 COBBS CREEK PKY,Cobbs Creek Park,Cobbs Creek Rec Center Building,"Trail - Park, Road, Parkling lot",Primary,39.9579858857,-75.247878437
Pedestrian and Vehicular,280 COBBS CREEK PKY,Cobbs Creek Park,Cobbs Creek Rec Center Building,"Trail - Park, Road, Parkling lot",Primary,39.9582524622,-75.2478260585
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park,<Null>,Trail - Park,Primary,39.9571781282,-75.2480518493
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9570084823,-75.248090684
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9542385064,-75.2509660109
Pedestrian and Vehicular,700 COBBS CREEK PKY,Cobbs Creek Park,Cobbs Creek Stable/ Eniv Ed Center,"Trail - Park, Road, Parkling lot",Primary,39.9517451946,-75.2491859769
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9529112041,-75.2522684218
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9505142273,-75.2529652081
Pedestrian,700 COBBS CREEK PKY,Cobbs Creek Park,Cobbs Creek Stable/ Eniv Ed Center,Trail - Park,Primary,39.9518992178,-75.2510007503
Pedestrian,280 COBBS CREEK PKY,Cobbs Creek Park,Cobbs Creek Rec Center Building,Park,Primary,39.9510086476,-75.2493426174
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9489896333,-75.2497735728
Pedestrian,COBBS CREEK PKWY & 61ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9464881537,-75.2461290566
Pedestrian,BALTIMORE AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.943584192,-75.2467711975
Pedestrian,BALTIMORE AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9434283589,-75.2467370465
