GIS_FPC_PP,PERIMETER,MAT,LIGHTS,PARK,SPACES,LAT,LNG
1174.94098007,173.80818524,Paved,0,West Park,10,39.9882921839,-75.2119578418
2281.56936167,294.80112858,Paved,0,West Park, ,39.98853937,-75.2118318993
6778.85501053,398.47615574,Paved,0,West Park, ,39.9972060702,-75.2126678886
2388.27907883,285.44412983,Paved,1,West Park,12,39.991687559,-75.2145287084
4686.74334936,313.8959585,Paved,1,West Park,26,39.9916508243,-75.2143367213
3156.37900607,383.62796593,Paved,1,West Park,20,39.9915323491,-75.2142144918
844.47733708,129.96074311,Paved,1,West Park,6,39.992343052,-75.2143531916
1757.53560616,229.77589579,Paved,1,West Park,12,39.9920294879,-75.2143570013
7749.60364855,459.95841812,Paved,1,West Park,42,39.9920852335,-75.2141673794
3605.91221041,417.41969474,Paved,1,West Park,22,39.9920421673,-75.2139834047
2962.49276538,354.23637803,Asphalt,0,West Park,12,39.9913832164,-75.2133364491
2885.95387139,362.28441609,Asphalt,0,West Park,11,39.9911920581,-75.2133902191
2093.47361026,224.81320244,Paved,0,West Park, ,39.9858216903,-75.2059533042
32234.9780458,731.71981885,Asphalt,1,West Park,162,39.982392383,-75.2229541981
6786.10238759,336.81262475,Asphalt,1,West Park,24,39.9823678311,-75.223457242
8910.85826358,652.17445205,Asphalt,0,West Park, ,39.9791671527,-75.2149032903
7836.47663483,332.19749234,Asphalt,0,West Park,4,39.9794121193,-75.2053423066
1065.01895565,135.29143726,Paved,0,West Park,4,39.9870733006,-75.2060726843
1696.95491958,200.39443763,Paved,0,West Park,4,39.9872670508,-75.2061258679
1847.56100706,194.03907259,Paved,0,West Park,7,39.9872324396,-75.2059942416
2016.45067433,195.47838463,Paved,0,West Park,9,39.9871618324,-75.205863349
807.89187987,121.35159888,Paved,0,West Park,4,39.9871108934,-75.2062352222
6155.36217222,646.79998419,Paved,1,Fairview Park,27,40.0304899799,-75.220024652
55825.5676974,959.95689945,Paved,1,29th & Chalmers Park,132,39.9998531789,-75.1785426079
40161.8121532,801.96750777,Paved,0,29th & Chalmers Park, ,39.9977250592,-75.1805818761
1919.89806741,241.60538409,Asphalt,0,Allens Lane Park,10,40.0519107847,-75.2025710321
1217.1603667,165.95918892,Asphalt,0,Allens Lane Park,6,40.0518204505,-75.2032873915
2731.61839984,276.78635966,Asphalt,1,Philadelphia Museum of Art,12,39.9664330687,-75.1820900483
2741.94268343,290.38979238,Asphalt,1,Philadelphia Museum of Art,12,39.9663375608,-75.1819661785
18928.9616454,582.03397088,Paved,0,Philadelphia Museum of Art,65,39.9656775936,-75.1819420156
2880.49875632,285.89086141,Paved,0,Philadelphia Museum of Art,8,39.9658567058,-75.1821623587
13984.1902101,1544.81830268, ,0,Philadelphia Museum of Art, ,39.964943694,-75.1815233807
20932.6596253,589.61032601,Paved,0,Philadelphia Museum of Art,65,39.9663695295,-75.1810946429
12510.314111,1477.66088956,Paved,0,Philadelphia Museum of Art,60,39.9663168201,-75.1804516278
1929.63052512,218.65031177,Paved,1,Awbury Park,9,40.0534017525,-75.1660364048
1291.25437577,189.69232271,Paved,0,Awbury Park,8,40.0533159806,-75.166138359
1612.95958392,223.99298745,Paved,0,Awbury Park,8,40.0531016166,-75.1657868618
2138.76572941,250.4048788,Paved,1,Awbury Park,9,40.0532007131,-75.1657085318
2597.85497651,308.96967186,Paved,0,Awbury Park,15,40.0528870685,-75.1654327556
3473.25515453,389.36315305,Paved,1,Awbury Park,20,40.0529445102,-75.1652925581
4451.681862,321.30002244,Earth,0,Bartram's Garden,25,39.930374294,-75.2130874026
7663.92246969,373.37512845,Paved,0,Bartram's Garden, ,39.9334953232,-75.2114535095
1630.73690312,204.4819048,Paved,0,Bartram's Garden,11,39.9330906516,-75.2118692709
1474.16983217,207.59996662,Paved,0,Bartram's Garden, ,39.9331532831,-75.2119800126
1095.7195798,149.34942205,Paved,1,Burholme Driving Range,6,40.0671699049,-75.0932444156
10618.0699633,1204.33772691,Paved,1,Burholme Driving Range,57,40.0676466446,-75.0937747511
1204.53416494,165.57019339,Paved,1,Burholme Driving Range,7,40.0673325443,-75.0933425913
6230.86759471,429.91721408,Paved,1,Burholme Driving Range,40,40.067590224,-75.0937351625
15976.480309,558.49170809,Asphalt,1,Burholme Park,30,40.0686442659,-75.0896586678
1730.51183899,186.99462007,Asphalt,1,Burholme Park,6,40.0688552498,-75.0884009197
6208.43943362,350.95141535,Asphalt,0,Burholme Park,20,40.0673900268,-75.0913173598
6964.19747216,365.75412757,Asphalt,0,Burholme Park,30,40.0667579798,-75.0920715705
6295.33789781,1135.881805,Asphalt,0,Burholme Park,60,40.0690505048,-75.0914878897
13320.7565401,614.41090222,Paved,0,Cobbs Creek & Karakung Golf Course,63,39.968043911,-75.2649209616
14101.1458801,658.67241956,Paved,0,Cobbs Creek & Karakung Golf Course,66,39.9679172051,-75.2647659963
26400.7935324,687.59366253,Paved,0,Cobbs Creek & Karakung Golf Course,97,39.9684722241,-75.2655645538
1680.13068662,390.48269745,Paved,0,Cobbs Creek & Karakung Golf Course,8,39.9669928371,-75.265860186
24644.238581,721.64117968,Paved,0,Cobbs Creek Driving Range and Sports Center,78,39.9746735006,-75.2793120777
1993.61584473,252.22505912,Paved,0,Cobbs Creek South,10,39.9523654874,-75.2506015951
37485.1919004,1071.7159106,Paved,1,Eakins Oval,86,39.9634583056,-75.1780616011
2827.12135464,252.92541047,Asphalt,1,East Fairmount Park,8,39.9929764426,-75.1882116894
