OLNEY AV,19TH ST,W OLNEY AVE & N 19TH ST,-75.15283768,40.03929525
CB MOORE AV,13TH ST,CECIL B MOORE AVE & N 13TH ST,-75.15570511,39.97837061
GERMANTOWN AV,TIOGA ST,GERMANTOWN AVE & W TIOGA ST,-75.1497381,40.00588994
GIRARD AV,6TH ST,W GIRARD AVE & N 6TH ST,-75.14654477,39.97038165
GIRARD AV,4TH ST,W GIRARD AVE & N 4TH ST,-75.14309536,39.96995576
YORK ST,26TH ST,W YORK ST & N 26TH ST,-75.17495155,39.99187536
BROAD ST,GRANGE AV,N BROAD ST & W GRANGE AVE,-75.14422518,40.04138268
OLD YORK RD,GRANGE AV,OLD YORK RD & W GRANGE AVE,-75.14447839,40.04119447
GERMANTOWN AV,ERIE AV,GERMANTOWN AVE & W ERIE AVE,-75.15081093,40.00919772
BROAD ST,LOUDON ST,N BROAD ST & W LOUDON ST,-75.14755642,40.02613962
OLD YORK RD,CHAMPLOST AV,OLD YORK RD & W CHAMPLOST AVE,-75.14461352,40.0445625
OGONTZ AV,76TH AV,OGONTZ AVE & 76TH AVE,-75.15716663,40.06996442
CB MOORE AV,12TH ST,CECIL B MOORE AVE & N 12TH ST,-75.15415369,39.97816725
33RD ST,DAUPHIN ST,N 33RD ST & W DAUPHIN ST,-75.18637221,39.99177817
33RD ST,DIAMOND ST,N 33RD ST & DIAMOND ST,-75.18706038,39.98866643
RIDGE AV,CUMBERLAND RD,RIDGE AVE & W CUMBERLAND DR,-75.18726167,39.99494822
OLD YORK RD,STENTON AV,OLD YORK RD & STENTON AVE,-75.14495947,40.04868191
BROAD ST,TIOGA ST,N BROAD ST & W TIOGA ST,-75.15192156,40.00616852
22ND ST,SOMERSET ST,N 22ND ST & W SOMERSET ST,-75.16721632,39.99719845
22ND ST,FOX ST,N 22ND ST & FOX ST,-75.16652847,40.00040378
22ND ST,INDIANA AV,N 22ND ST & W INDIANA AVE,-75.1665638,40.00020077
22ND ST,CAMBRIA ST,N 22ND ST & W CAMBRIA ST,-75.16689588,39.99868934
BROAD ST,MONTGOMERY AV,N BROAD ST & W MONTGOMERY AVE,-75.1575828,39.98022419
BROAD ST,BERKS ST,N BROAD ST & W BERKS ST,-75.15725547,39.98169482
BROAD ST,RISING SUN AV,N BROAD ST & RISING SUN AVE,-75.15255075,40.00318284
LEHIGH AV,GERMANTOWN AV,W LEHIGH AVE & GERMANTOWN AVE,-75.14788704,39.99307988
BROAD ST,NORRIS ST,N BROAD ST & W NORRIS ST,-75.15691578,39.98322097
BROAD ST,RUSCOMB ST,N BROAD ST & W RUSCOMB ST,-75.14691352,40.02914517
HUNTING PARK AV,STOKLEY ST,W HUNTING PARK AVE & STOKLEY ST,-75.17035734,40.00840787
BROAD ST,ROCKLAND ST,N BROAD ST & W ROCKLAND ST,-75.14721963,40.02764514
